param,value,alerts,recall,precision,tp
window_hours,24.0,6428,0.062311557788944726,0.019290603609209707,124
window_hours,48.0,10017,0.10201005025125628,0.02026554856743536,203
window_hours,72.0,11409,0.12462311557788945,0.021737224997808748,248
window_hours,120.0,12997,0.15678391959798996,0.024005539739939987,312
pass_ratio,0.5,11992,0.1306532663316583,0.021681120747164776,260
pass_ratio,0.7,11409,0.12462311557788945,0.021737224997808748,248
pass_ratio,0.9,10944,0.11457286432160804,0.020833333333333332,228
min_in_parties,2.0,34823,0.23366834170854273,0.013353243545932286,465
min_in_parties,3.0,11409,0.12462311557788945,0.021737224997808748,248
min_in_parties,5.0,949,0.024120603015075376,0.0505795574288725,48
min_in,3.0,11409,0.12462311557788945,0.021737224997808748,248
min_in,5.0,10868,0.11608040201005025,0.02125506072874494,231
min_in,8.0,8582,0.09547738693467336,0.022139361454206478,190
