param,value,cycles_raw,cycles_valid,alerts,tp,recall,precision,sec
max_duration_days,7.0,1956,35,107,51,0.1881918819188192,0.4766355140186916,8.6
max_duration_days,14.0,1956,64,119,54,0.1992619926199262,0.453781512605042,9.1
max_duration_days,30.0,1956,69,119,54,0.1992619926199262,0.453781512605042,8.7
max_duration_days,60.0,1956,69,119,54,0.1992619926199262,0.453781512605042,9.2
amount_tolerance,0.2,1956,11,32,24,0.08856088560885608,0.75,7.4
amount_tolerance,0.5,1956,69,119,54,0.1992619926199262,0.453781512605042,8.8
amount_tolerance,0.8,1956,750,186,63,0.23247232472324722,0.3387096774193548,10.2
max_len,4.0,271,56,101,36,0.13284132841328414,0.3564356435643564,8.7
max_len,6.0,824,64,105,40,0.14760147601476015,0.38095238095238093,8.8
max_len,8.0,1956,69,119,54,0.1992619926199262,0.453781512605042,9.0
max_len,10.0,3492,72,138,73,0.2693726937269373,0.5289855072463768,9.3
min_amount,1000.0,2647,148,317,66,0.24354243542435425,0.2082018927444795,17.7
min_amount,5000.0,1956,69,119,54,0.1992619926199262,0.453781512605042,9.5
min_amount,20000.0,223,41,63,22,0.08118081180811808,0.3492063492063492,5.7
